Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Shelf Life (days),Storage Condition,Quantity Sold (liters/kg),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg),Total Value,Price per Unit (sold),Approx. Total Revenue(INR),Production Date,Expiration Date
Kolkata,712.31,70,Small,2022-09-25,5,Curd,LocalFarm,771.19,35.99,34,Cold,159,Chennai,Wholesale,247,34,167,27755.1281,35.56288264087541,5654.49833989919,2022-09-23,2022-10-27
Delhi,233.76,88,Large,2020-08-12,10,Milk,LocalFarm,248.97,49.35,18,Cold,643,Kolkata,Retail,347,75,72,12286.6695,47.94839878504311,30830.82041878272,2020-08-11,2020-08-29
Delhi,659.43,43,Small,2023-10-16,8,Curd,Mother Dairy,138.66,42.39,27,Frozen,421,Delhi,Online,10,84,149,5877.7974,43.270442153610446,18216.856146669998,2023-10-15,2023-11-11
Chennai,296.84,79,Medium,2020-06-11,7,Curd,LocalFarm,384.19,79.65,33,Frozen,726,Chennai,Wholesale,434,93,79,30600.733500000002,83.31183482292515,60484.39208144366,2020-06-08,2020-07-11
Chennai,891.78,26,Medium,2020-06-24,8,Cheese,Mother Dairy,178.97,33.2,55,Frozen,144,Bangalore,Online,31,74,142,5941.804,34.65018397773973,4989.626492794521,2020-06-22,2020-08-16
Mumbai,900.91,29,Medium,2022-12-10,4,Milk,Amul,587.43,87.28,46,Cold,375,Delhi,Retail,327,95,92,51270.8904,89.22989687079914,33461.211326549674,2022-12-08,2023-01-23
Kolkata,332.42,82,Large,2023-01-30,8,Milk,Nestle,452.91,30.31,39,Frozen,258,Kolkata,Retail,147,84,188,13727.7021,29.375307794726098,7578.8294110393335,2023-01-27,2023-03-07
Kolkata,268.49,68,Large,2020-01-10,6,Curd,Amul,489.3,42.52,56,Cold,532,Kolkata,Retail,132,21,165,20805.036000000004,41.04920234849115,21838.175649397293,2020-01-06,2020-03-02
Chennai,440.74,78,Small,2019-10-18,3,Milk,Amul,565.72,50.3,31,Frozen,652,Bangalore,Wholesale,381,30,197,28455.716,52.1661625346232,34012.33797257432,2019-10-17,2019-11-17
Kolkata,278.51,96,Large,2019-02-12,8,Milk,Nestle,982.95,36.21,58,Frozen,620,Chennai,Retail,424,95,162,35592.6195,37.88585044414667,23489.227275370937,2019-02-09,2019-04-08
Kolkata,688.76,42,Large,2021-12-12,7,Paneer,LocalFarm,803.0,78.97,53,Ambient,551,Chennai,Wholesale,268,61,188,63412.909999999996,79.93595081669739,44044.70890000026,2021-12-08,2022-01-30
Delhi,834.76,111,Medium,2023-12-17,10,Milk,Amul,648.0,46.86,31,Cold,292,Kolkata,Retail,202,22,164,30365.28,48.74027910541455,14232.161498781048,2023-12-13,2024-01-13
Chennai,689.44,87,Medium,2022-06-09,5,Butter,Nestle,395.52,89.83,34,Frozen,196,Mumbai,Retail,121,60,76,35529.5616,92.65865637928505,18161.09665033987,2022-06-07,2022-07-11
Bangalore,833.13,26,Small,2022-05-20,4,Milk,Amul,75.72,96.72,7,Cold,425,Kolkata,Wholesale,97,68,171,7323.6384,93.37361159955854,39683.784929812384,2022-05-16,2022-05-23
Chennai,427.14,66,Medium,2019-01-08,1,Cheese,Amul,160.7,87.38,16,Ambient,133,Kolkata,Wholesale,235,56,54,14041.965999999999,84.9593088641321,11299.58807892957,2019-01-05,2019-01-21
Bangalore,198.5,92,Large,2023-07-16,10,Paneer,Nestle,744.32,57.04,51,Cold,813,Delhi,Wholesale,130,26,114,42456.012800000004,54.5744983944936,44369.0671947233,2023-07-14,2023-09-03
Delhi,751.05,106,Small,2020-04-27,3,Cheese,LocalFarm,400.74,55.88,35,Cold,46,Bangalore,Online,398,57,122,22393.3512,55.73503002015714,2563.8113809272286,2020-04-25,2020-05-30
Mumbai,392.45,10,Small,2019-02-11,2,Cheese,Mother Dairy,367.72,29.43,41,Cold,719,Delhi,Retail,251,77,188,10821.999600000001,28.911879567892242,20787.64140931452,2019-02-10,2019-03-23
Kolkata,687.71,22,Medium,2019-11-29,8,Butter,Nestle,894.53,63.3,31,Cold,437,Kolkata,Online,251,24,81,56623.748999999996,62.83187133839879,27457.527774880273,2019-11-27,2019-12-28
Delhi,307.11,119,Medium,2022-06-10,8,Paneer,Mother Dairy,510.28,95.75,51,Cold,618,Delhi,Retail,352,80,156,48859.31,91.04545734367092,56266.092638388625,2022-06-06,2022-07-27
Kolkata,127.17,36,Medium,2021-12-29,5,Curd,Nestle,904.6,17.25,56,Cold,611,Chennai,Retail,55,96,33,15604.35,17.631645924741058,10772.935660016787,2021-12-25,2022-02-19
Mumbai,992.95,79,Small,2021-11-05,5,Milk,Nestle,892.31,77.72,28,Cold,481,Kolkata,Retail,379,58,147,69350.3332,75.39284314342763,36263.957551988686,2021-11-01,2021-11-29
Mumbai,198.39,68,Medium,2019-03-10,4,Butter,Mother Dairy,126.17,88.26,52,Frozen,199,Chennai,Retail,426,47,75,11135.764200000001,87.0973149189877,17332.365668878552,2019-03-09,2019-04-30
Delhi,989.0,15,Large,2019-02-22,1,Butter,Mother Dairy,948.09,98.8,45,Frozen,586,Chennai,Online,248,76,186,93671.292,97.8354728118312,57331.58706773308,2019-02-19,2019-04-05
Mumbai,978.42,106,Small,2020-11-15,1,Curd,LocalFarm,123.11,40.13,44,Cold,266,Bangalore,Retail,201,21,125,4940.4043,38.38933856887466,10211.56405932066,2020-11-14,2020-12-28
Bangalore,804.13,103,Medium,2021-09-20,6,Butter,Nestle,965.33,42.0,15,Cold,519,Chennai,Online,248,89,30,40543.86,41.435162031350714,21504.84909427102,2021-09-17,2021-10-02
Mumbai,676.45,119,Large,2023-12-03,4,Curd,Nestle,479.98,30.68,31,Frozen,336,Delhi,Wholesale,450,98,97,14725.7864,31.906730281851523,10720.661374702111,2023-11-29,2023-12-30
Kolkata,598.92,108,Large,2022-11-03,4,Curd,Nestle,772.82,81.02,13,Ambient,453,Delhi,Online,301,47,194,62613.8764,84.20573447713386,38145.19771814164,2022-10-31,2022-11-13
Kolkata,872.8,32,Medium,2023-12-30,3,Curd,LocalFarm,720.84,22.6,20,Frozen,252,Mumbai,Retail,372,56,107,16290.984000000002,21.52557319773465,5424.444445829132,2023-12-26,2024-01-15
Kolkata,324.97,19,Large,2023-01-26,9,Butter,Mother Dairy,542.57,34.1,18,Ambient,801,Bangalore,Online,175,74,151,18501.637000000002,32.49658300521934,26029.762987180693,2023-01-22,2023-02-09
Kolkata,494.3,60,Small,2020-06-10,3,Curd,Nestle,638.48,36.57,51,Cold,640,Mumbai,Online,104,20,148,23349.2136,36.913632481604,23624.72478822656,2020-06-06,2020-07-27
Bangalore,638.42,28,Small,2023-12-11,8,Butter,Mother Dairy,952.42,43.74,34,Cold,769,Chennai,Wholesale,461,22,107,41658.8508,42.4488956988633,32643.20079242588,2023-12-08,2024-01-11
Chennai,440.63,60,Large,2023-08-30,2,Paneer,LocalFarm,930.98,47.95,50,Frozen,838,Kolkata,Wholesale,244,90,159,44640.491,49.86086173738922,41783.40213593217,2023-08-28,2023-10-17
Delhi,456.11,101,Small,2019-03-04,4,Curd,Amul,671.61,60.31,28,Frozen,388,Delhi,Wholesale,224,33,50,40504.799100000004,60.20659376274002,23360.15837994313,2019-03-03,2019-03-31
Kolkata,363.77,96,Medium,2019-09-18,1,Butter,Mother Dairy,674.83,95.35,46,Frozen,686,Kolkata,Retail,352,67,58,64345.0405,93.68893633051191,64270.61032273117,2019-09-14,2019-10-30
Mumbai,586.02,77,Large,2023-03-04,5,Butter,LocalFarm,284.59,32.26,17,Cold,187,Mumbai,Online,419,56,105,9180.873399999999,33.72227134155732,6306.064740871218,2023-03-01,2023-03-18
Kolkata,858.05,93,Small,2022-02-18,2,Butter,Amul,837.19,80.13,37,Frozen,87,Mumbai,Online,150,22,111,67084.0347,78.67105812149708,6844.382056570246,2022-02-15,2022-03-24
Mumbai,241.45,92,Medium,2021-05-07,1,Milk,Nestle,650.97,70.88,59,Frozen,796,Delhi,Wholesale,438,68,195,46140.7536,69.6100326249585,55409.58596946697,2021-05-06,2021-07-04
Mumbai,937.71,51,Medium,2022-06-17,1,Milk,Nestle,834.94,20.44,13,Ambient,766,Mumbai,Retail,310,75,189,17066.173600000002,19.690050550967964,15082.57872204146,2022-06-14,2022-06-27
Kolkata,704.63,100,Small,2023-01-28,2,Curd,Mother Dairy,674.96,82.93,53,Cold,570,Kolkata,Retail,53,79,198,55974.43280000001,80.62663631653756,45957.182700426405,2023-01-26,2023-03-20
Bangalore,832.11,66,Large,2022-02-04,5,Paneer,Amul,334.35,18.16,30,Cold,674,Mumbai,Retail,380,32,51,6071.796,18.63305109322443,12558.676436833266,2022-02-03,2022-03-05
Mumbai,578.38,107,Medium,2019-06-29,9,Curd,LocalFarm,230.01,76.5,53,Cold,364,Kolkata,Wholesale,320,72,199,17595.765,78.48705534312776,28569.288144898506,2019-06-26,2019-08-18
Mumbai,790.54,77,Medium,2021-11-05,6,Cheese,Nestle,123.12,74.42,46,Frozen,549,Chennai,Retail,218,69,169,9162.590400000001,73.57606883645482,40393.2617912137,2021-11-04,2021-12-20
Kolkata,65.39,47,Medium,2019-12-21,4,Cheese,Nestle,606.7,72.05,49,Cold,71,Bangalore,Retail,306,38,86,43712.735,70.9647477806051,5038.497092422962,2019-12-19,2020-02-06
Mumbai,827.46,71,Medium,2021-07-22,3,Paneer,Amul,319.85,34.9,54,Frozen,464,Delhi,Retail,415,45,37,11162.765000000001,34.61519723555958,16061.451517299643,2021-07-20,2021-09-12
Mumbai,88.13,16,Large,2022-08-25,8,Paneer,LocalFarm,648.98,61.6,17,Ambient,753,Mumbai,Wholesale,468,72,185,39977.168000000005,60.37315521004359,45460.98587316283,2022-08-22,2022-09-08
Kolkata,895.42,80,Small,2020-12-27,3,Paneer,Nestle,105.72,78.54,25,Cold,824,Delhi,Wholesale,235,76,86,8303.248800000001,79.38661661264916,65414.57208882291,2020-12-26,2021-01-20
Kolkata,992.36,59,Small,2020-08-11,1,Milk,Nestle,406.88,67.38,33,Ambient,611,Mumbai,Online,383,57,46,27415.574399999998,69.6478926713945,42554.86242222204,2020-08-09,2020-09-11
Delhi,329.36,61,Small,2023-10-27,4,Milk,Mother Dairy,297.53,82.39,32,Ambient,712,Chennai,Online,403,28,50,24513.4967,78.34772918561383,55783.583180157046,2023-10-23,2023-11-24
Bangalore,249.8,35,Medium,2020-08-27,5,Cheese,LocalFarm,401.82,71.91,28,Cold,159,Kolkata,Online,346,65,80,28894.8762,75.04532685262913,11932.206969568031,2020-08-26,2020-09-23
Bangalore,777.1,35,Large,2019-06-30,5,Paneer,Nestle,101.57,34.7,17,Cold,740,Delhi,Wholesale,163,23,164,3524.4790000000003,33.37429822295862,24696.98068498938,2019-06-26,2019-07-13
Mumbai,290.38,28,Small,2019-06-23,5,Butter,Amul,737.97,23.78,46,Frozen,428,Chennai,Online,488,90,83,17548.926600000003,24.730501161652917,10584.654497187448,2019-06-19,2019-08-04
Bangalore,872.28,18,Large,2019-12-20,8,Cheese,Nestle,160.86,66.88,24,Ambient,354,Chennai,Retail,287,69,198,10758.3168,65.09803122041994,23044.70305202866,2019-12-19,2020-01-12
Mumbai,147.7,70,Small,2019-12-20,8,Paneer,LocalFarm,63.68,78.38,43,Ambient,300,Bangalore,Wholesale,358,89,89,4991.238399999999,81.64870145644737,24494.61043693421,2019-12-17,2020-01-29
Delhi,169.66,29,Medium,2022-05-27,4,Butter,Mother Dairy,948.97,22.81,11,Frozen,424,Chennai,Wholesale,56,24,73,21646.005699999998,23.465402203159858,9949.330534139779,2022-05-25,2022-06-05
Kolkata,980.19,115,Small,2023-08-06,9,Paneer,Nestle,233.23,25.73,45,Cold,141,Bangalore,Online,28,89,106,6001.0079,25.136072692397274,3544.1862496280155,2023-08-03,2023-09-17
Kolkata,690.15,118,Medium,2022-08-31,1,Curd,Amul,836.66,11.09,52,Ambient,742,Chennai,Retail,429,53,58,9278.5594,10.566858429631813,7840.608954786805,2022-08-30,2022-10-21
Kolkata,854.54,59,Medium,2020-03-09,5,Butter,Nestle,966.25,57.86,19,Frozen,875,Kolkata,Retail,86,84,194,55907.225,59.10886880112494,51720.260200984325,2020-03-05,2020-03-24
Bangalore,358.11,89,Small,2021-06-23,5,Curd,Amul,557.42,58.81,29,Ambient,666,Chennai,Wholesale,377,37,90,32781.8702,60.702286702416195,40427.72294380919,2021-06-19,2021-07-18
Delhi,692.66,90,Large,2019-10-09,5,Milk,LocalFarm,549.81,55.01,39,Ambient,479,Kolkata,Wholesale,418,46,90,30245.048099999996,55.998882253078406,26823.464599224557,2019-10-05,2019-11-13
Bangalore,614.53,31,Medium,2019-09-16,8,Cheese,Mother Dairy,399.05,38.44,17,Frozen,708,Mumbai,Online,78,29,101,15339.482,37.98512528628403,26893.468702689093,2019-09-13,2019-09-30
Bangalore,622.99,22,Large,2021-05-17,9,Paneer,LocalFarm,454.32,48.5,47,Ambient,58,Chennai,Retail,362,21,49,22034.52,46.69285190797574,2708.185410662593,2021-05-14,2021-06-30
Delhi,698.41,21,Small,2020-07-12,3,Cheese,Nestle,507.97,78.96,12,Frozen,94,Chennai,Wholesale,457,80,85,40109.3112,77.75229670931394,7308.71589067551,2020-07-08,2020-07-20
Delhi,596.59,19,Medium,2019-01-05,9,Paneer,Nestle,194.49,26.36,25,Frozen,884,Mumbai,Retail,307,41,103,5126.7564,25.749987339865545,22762.988808441143,2019-01-03,2019-01-28
Delhi,457.61,74,Large,2023-05-17,8,Curd,Mother Dairy,396.5,28.14,57,Ambient,580,Bangalore,Wholesale,398,29,172,11157.51,28.767774438758618,16685.309174479997,2023-05-16,2023-07-12
Delhi,312.13,105,Medium,2020-08-18,3,Butter,Amul,825.3,70.03,10,Ambient,236,Kolkata,Online,88,78,75,57795.759,67.64450450174868,15964.103062412689,2020-08-15,2020-08-25
Kolkata,780.15,39,Small,2023-07-27,2,Butter,LocalFarm,223.28,88.02,14,Cold,265,Mumbai,Wholesale,464,31,74,19653.1056,90.83261384118714,24070.64266791459,2023-07-23,2023-08-06
Chennai,264.96,17,Medium,2020-01-29,4,Paneer,Amul,743.36,40.64,53,Cold,762,Mumbai,Wholesale,178,82,71,30210.150400000002,41.09493438311024,31314.339999930005,2020-01-25,2020-03-18
Chennai,707.74,30,Small,2019-12-02,2,Curd,Nestle,669.01,93.95,56,Ambient,437,Delhi,Wholesale,286,34,37,62853.4895,93.78623266434568,40984.58367431906,2019-12-01,2020-01-26
Delhi,271.67,31,Large,2019-03-04,4,Paneer,Amul,104.43,15.19,45,Cold,786,Mumbai,Online,458,82,113,1586.2917,14.977692621495647,11772.46640049558,2019-03-01,2019-04-15
Chennai,644.06,27,Medium,2023-12-22,5,Paneer,LocalFarm,71.31,20.67,25,Cold,222,Bangalore,Online,83,84,43,1473.9777000000001,20.68548939552202,4592.178645805889,2023-12-20,2024-01-14
Chennai,759.72,75,Large,2019-02-13,2,Paneer,Amul,384.9,51.4,18,Frozen,675,Bangalore,Online,222,57,55,19783.859999999997,51.60636541356208,34834.2966541544,2019-02-10,2019-02-28
Delhi,257.78,57,Small,2019-06-02,8,Butter,Nestle,707.56,75.11,56,Ambient,883,Bangalore,Wholesale,143,25,131,53144.8316,73.13449364617294,64577.757889570705,2019-05-31,2019-07-26
Chennai,106.95,53,Small,2023-12-11,1,Paneer,LocalFarm,363.9,43.38,49,Cold,827,Kolkata,Wholesale,163,25,70,15785.982,45.50021729144661,37628.67970002635,2023-12-08,2024-01-26
Bangalore,174.43,18,Large,2021-05-03,3,Butter,Amul,684.35,59.93,37,Cold,538,Kolkata,Retail,294,57,58,41013.0955,62.38441911564361,33562.81748421626,2021-04-30,2021-06-06
Mumbai,625.7,76,Large,2023-09-03,7,Milk,Amul,682.19,12.57,29,Cold,632,Chennai,Online,138,67,42,8575.1283,12.43273303604542,7857.487278780705,2023-09-01,2023-09-30
Mumbai,856.97,63,Small,2022-03-25,10,Curd,LocalFarm,816.23,51.57,23,Ambient,315,Mumbai,Online,147,34,127,42092.981100000005,50.301489312080406,15844.969133305329,2022-03-22,2022-04-14
Delhi,92.75,35,Large,2023-02-10,1,Milk,Nestle,144.51,31.83,13,Frozen,469,Bangalore,Wholesale,473,91,76,4599.753299999999,31.215825440032386,14640.222131375189,2023-02-06,2023-02-19
Kolkata,747.44,94,Small,2019-10-02,2,Paneer,LocalFarm,598.27,56.47,53,Ambient,857,Mumbai,Online,311,48,50,33784.306899999996,59.18150758378894,50718.55199930712,2019-09-28,2019-11-20
Delhi,374.25,103,Large,2022-10-13,3,Butter,Nestle,109.37,57.32,51,Frozen,247,Chennai,Retail,240,21,124,6269.088400000001,56.78729401918512,14026.461622738725,2022-10-10,2022-11-30
Kolkata,504.6,101,Small,2020-03-01,2,Curd,Amul,217.15,77.78,56,Cold,122,Chennai,Online,242,94,41,16889.927,80.98399231983325,9880.047063019656,2020-02-28,2020-04-24
Mumbai,932.42,109,Small,2023-04-05,2,Cheese,LocalFarm,359.23,58.59,41,Ambient,111,Bangalore,Online,473,92,135,21047.285700000004,56.00631976987762,6216.701494456416,2023-04-02,2023-05-13
Delhi,365.37,35,Medium,2020-04-27,6,Curd,Nestle,722.02,65.28,40,Frozen,809,Mumbai,Online,169,35,53,47133.4656,67.08692656883419,54273.323594186855,2020-04-23,2020-06-02
Bangalore,492.07,43,Small,2019-08-02,7,Curd,LocalFarm,975.18,57.67,40,Cold,376,Chennai,Retail,46,77,50,56238.6306,59.18168027346687,22252.31178282354,2019-07-29,2019-09-07
Chennai,63.0,17,Small,2019-03-20,6,Paneer,Amul,375.39,99.13,19,Cold,718,Delhi,Retail,5,53,33,37212.4107,100.62673015898561,72249.99225415167,2019-03-16,2019-04-04
Kolkata,127.52,19,Medium,2019-05-19,6,Milk,LocalFarm,545.09,81.25,9,Ambient,165,Kolkata,Online,364,62,54,44288.5625,78.17158584684951,12898.311664730169,2019-05-18,2019-05-27
Chennai,295.66,57,Medium,2021-08-07,9,Milk,Amul,296.1,78.01,21,Frozen,286,Mumbai,Retail,34,43,37,23098.761000000002,81.76539575938745,23384.90318718481,2021-08-03,2021-08-24
Chennai,76.46,64,Large,2019-04-08,8,Cheese,Amul,691.72,66.45,34,Cold,138,Bangalore,Wholesale,391,44,193,45964.794,64.54142020177787,8906.715987845346,2019-04-05,2019-05-09
Delhi,649.81,116,Large,2020-10-25,8,Paneer,Amul,398.26,57.55,11,Cold,522,Chennai,Online,70,60,63,22919.862999999998,58.756893023698325,30671.098158370525,2020-10-21,2020-11-01
Chennai,455.08,63,Small,2019-07-17,6,Curd,Nestle,507.52,41.03,10,Cold,283,Chennai,Retail,292,52,143,20823.5456,42.06180683708956,11903.491334896346,2019-07-13,2019-07-23
Bangalore,570.74,87,Large,2021-02-23,5,Milk,Nestle,589.42,80.56,19,Frozen,295,Chennai,Retail,177,62,79,47483.6752,82.65390680611064,24382.90250780264,2021-02-21,2021-03-12
Chennai,215.91,49,Large,2019-06-05,9,Milk,Mother Dairy,701.93,27.06,56,Frozen,734,Kolkata,Retail,122,36,120,18994.225799999997,27.94216955701089,20509.55245484599,2019-06-02,2019-07-28
Delhi,331.14,24,Small,2021-12-09,2,Butter,Nestle,107.05,13.29,50,Cold,78,Mumbai,Wholesale,244,26,57,1422.6944999999998,13.940045903425007,1087.3235804671506,2021-12-05,2022-01-24
Bangalore,680.63,90,Medium,2020-04-23,7,Curd,Mother Dairy,577.16,72.84,14,Frozen,366,Chennai,Retail,399,78,91,42040.3344,69.89719190685476,25582.372237908843,2020-04-22,2020-05-06
Mumbai,967.04,27,Medium,2019-08-16,6,Paneer,LocalFarm,459.61,23.04,10,Cold,684,Kolkata,Wholesale,8,46,122,10589.4144,22.975923795897288,15715.531876393745,2019-08-12,2019-08-22
Chennai,97.9,105,Small,2023-01-20,7,Milk,Amul,177.08,91.34,46,Cold,205,Delhi,Wholesale,330,55,156,16174.487200000001,95.67719345522926,19613.824658322,2023-01-16,2023-03-03
Delhi,895.87,111,Small,2020-06-05,4,Paneer,Nestle,247.63,79.36,59,Frozen,134,Mumbai,Retail,212,38,73,19651.9168,82.39222904887079,11040.558692548686,2020-06-04,2020-08-02
Mumbai,598.04,32,Small,2019-05-29,9,Curd,Amul,889.7,64.2,56,Frozen,806,Bangalore,Wholesale,315,34,189,57118.740000000005,67.34978285978191,54283.92498498422,2019-05-26,2019-07-21
Mumbai,585.72,71,Small,2021-12-17,7,Curd,Mother Dairy,878.19,38.25,45,Ambient,381,Mumbai,Retail,50,89,37,33590.7675,38.56531217568908,14693.383938937539,2021-12-14,2022-01-28
Kolkata,525.26,55,Small,2019-06-11,2,Milk,Nestle,81.66,67.41,17,Ambient,255,Chennai,Retail,301,76,174,5504.700599999999,68.57517756776559,17486.670279780225,2019-06-07,2019-06-24
Bangalore,115.92,96,Small,2021-05-12,4,Cheese,Nestle,704.93,52.92,18,Frozen,461,Bangalore,Retail,326,88,169,37304.895599999996,51.67004735074276,23819.891828692413,2021-05-10,2021-05-28
Chennai,135.38,108,Large,2023-02-09,5,Paneer,Nestle,576.48,36.2,5,Frozen,597,Mumbai,Online,395,72,154,20868.576,36.049155234200086,21521.34567481745,2023-02-05,2023-02-10
Delhi,620.87,48,Large,2022-02-04,2,Paneer,Nestle,942.83,95.06,37,Frozen,282,Bangalore,Wholesale,63,88,119,89625.4198,90.50613932753407,25522.73129036461,2022-02-01,2022-03-10
Kolkata,373.91,24,Large,2022-12-21,10,Butter,Amul,912.61,24.57,23,Frozen,70,Mumbai,Wholesale,370,21,135,22422.8277,25.10985399559116,1757.689779691381,2022-12-19,2023-01-11
Bangalore,921.4,62,Medium,2020-01-30,8,Curd,Nestle,600.58,77.8,13,Cold,370,Delhi,Retail,231,37,100,46725.124,81.1133259945039,30011.93061796644,2020-01-29,2020-02-11
Kolkata,436.26,97,Small,2021-03-11,1,Curd,Mother Dairy,182.01,82.0,41,Cold,436,Delhi,Wholesale,20,51,183,14924.82,78.8196241604975,34365.35613397691,2021-03-07,2021-04-17
Bangalore,186.12,73,Small,2019-07-05,3,Milk,Nestle,486.82,95.66,53,Ambient,862,Delhi,Retail,4,48,130,46569.201199999996,95.22357923434126,82082.72530000216,2019-07-04,2019-08-26
Bangalore,728.98,72,Large,2020-07-11,1,Milk,Mother Dairy,738.91,59.45,52,Frozen,763,Mumbai,Wholesale,5,68,190,43928.1995,60.18222988183196,45919.041399837784,2020-07-10,2020-08-31
Chennai,328.69,101,Medium,2020-03-21,5,Milk,Mother Dairy,954.15,58.14,16,Ambient,891,Bangalore,Wholesale,42,99,61,55474.281,58.90848425599413,52487.45947209077,2020-03-17,2020-04-02
